Year,Variable,Variable Label
2022,fm_coop,Family Structure: Own Children: Other Relatives Percent
2022,fm_cofp,Family Structure: Own Children: Foster Child Percent
2022,fm_cnfp,Family Structure: Nonrelatives: Foster Child Percent
2022,fm_c0002tp,Family Structure: Own Children: Under 3 years Percent
2022,fm_c0002fp,Family Structure: F Only HH: OC Under 3 years Percent
2022,fm_c0002mp,Family Structure: M Only HH: OC Under 3 years Percent
2022,fm_c0002sp,Family Structure: M or F Only HH: OC Under 3 years Percent
2022,fm_c0304p,Family Structure: Own Children: 3-4 years Percent
2022,fm_c0505p,Family Structure: Own Children: 5 years Percent
2022,fm_c0611p,Family Structure: Own Children: 6-11 years Percent
2022,fm_c1217p,Family Structure: Own Children: 12-17 years Percent
2022,fy_allp,Fertility: Women 15 to 50 Years Old: Birth in past 12 months Percent
2022,fy_1519p,Fertility: Age: Women 15 to 19 Years Old: Birth in past 12 months Percent
2022,fy_2024p,Fertility: Age: Women 20 to 24 Years Old: Birth in past 12 months Percent
2022,fy_2529p,Fertility: Age: Women 25 to 29 Years Old: Birth in past 12 months Percent
2022,fy_3034p,Fertility: Age: Women 30 to 34 Years Old: Birth in past 12 months Percent
2022,fy_3539p,Fertility: Age: Women 35 to 39 Years Old: Birth in past 12 months Percent
2022,fy_4044p,Fertility: Age: Women 40 to 44 Years Old: Birth in past 12 months Percent
2022,fy_4450p,Fertility: Age: Women 45 to 50 Years Old: Birth in past 12 months Percent
2022,fy_rwbp,Fertility: RE: White Women: Birth in past 12 months Percent
2022,fy_rnbp,Fertility: RE: White non-Hispanic Women: Birth in past 12 months Percent
2022,fy_rbbp,Fertility: RE: Black Women: Birth in past 12 months Percent
2022,fy_rhbp,Fertility: RE: Hispanic Women: Birth in past 12 months Percent
2022,fy_ribp,Fertility: RE: AIAN Women: Birth in past 12 months Percent
2022,fy_rabp,Fertility: RE: Asian Women: Birth in past 12 months Percent
2022,fy_rpbp,Fertility: RE: Hawaiian or Pacific Isle Women: Birth in past 12 months P...
2022,fy_robp,Fertility: RE: Other Race Women: Birth in past 12 months Percent
2022,fy_rmbp,Fertility: RE: Multi-Racial Women: Birth in past 12 months Percent
2022,fy_enhp,Fertility: Edu: Less than High School: Birth in past 12 months Percent
2022,fy_ehsp,Fertility: Edu: High School Graduate: Birth in past 12 months Percent
2022,fy_easp,Fertility: Edu: Some College or Associates Degree: Birth in past 12 mont...
2022,fy_eclp,Fertility: Edu: Bachelors Degree: Birth in past 12 months Percent
2022,fy_egrp,Fertility: Edu: Graduate Degree: Birth in past 12 months Percent
2022,fy_pb1p,Poverty: Poverty: Below 100pct Poverty Level Percent
2022,fy_p12p,Poverty: Poverty: 100-200pct Poverty Level Percent
2022,fy_po2p,Poverty: Poverty: Over 200pct Poverty Level Percent
2022,fy_pypp,Fertility: Public Assistance: Received PA Income Percent
2022,fy_pnpp,Fertility: Public Assistance: Did Not Receive PA Income Percent
2022,fy_lilp,Fertility: Labor Force: In Labor Force Percent
2022,fy_lnlp,Fertility: Labor Force: Not in Labor Force Percent
2022,fy_mymp,Fertility: Marital Status: Married Percent
2022,fy_mnmp,Fertility: Marital Status: Unmarried Percent
2022,fy_nynp,Fertility: Nativity: Native Percent
2022,fy_nnnp,Fertility: Nativity: Foreign Born Percent
2022,sh_allp,School Attendance: All: Children and Adult Percent
2022,sh_chlp,School Attendance: Children Pre-k thru HS Percent
2022,sh_adlp,School Attendance: Adult College and Graduate Percent
2022,sh_prkp,School Attendance: Pre-K Percent
2022,sh_elep,School Attendance: Elementary Percent
2022,sh_midp,School Attendance: Middle School Percent
2022,sh_higp,School Attendance: High School Percent
2022,sh_colp,School Attendance: College Percent
2022,sh_grdp,School Attendance: Gradute or Professional Percent
2022,ed_nhsp,Education: Did Not Complete High School or Equivalent Percent
2022,ed_hsdp,Education: High School Diploma or Equivalent Percent
2022,ed_asdp,Education: Completed Associates Degree Percent
2022,ed_colp,Education: Completed College Percent
2022,ed_pgdp,Education: Completed Any Post-Graduate Degree: Percent
2022,ed_mstp,Education: Completed Masters or Professional Degree Percent
2022,ed_phdp,Education: Completed Doctorate Degree Percent
2022,lg_egop,Language: BG: English: Only Percent
